word,part_of_speech,meaning,example,meaning_original,original_meaning
seí²,n.,mischief,"Sei kí tọn “medicine after death”, i.e. advice too late; Sei mọ́ èbi mọ́ kẹnị tuu ki wẹ̀nịyémi Evil and good move together; Seibọ́ sèi sụọ́, yé èbi kí ìneí, tímibọ fàbọ píṛìg̣ha Trouble is for oneself; if you have good it’s for me; the one who has doesn’t give to the one who hasn’t (three different sayings, sometimes said one after the other, all referring to a selfish attitude); B. (fig.) faeces; excreta","A. evil; mischief; sei mịẹ́ do evil, sin; sei timí have a bad life",mischief
seí²,n.,"sei mịẹ́ do evil, sin","Sei kí tọn “medicine after death”, i.e. advice too late; Sei mọ́ èbi mọ́ kẹnị tuu ki wẹ̀nịyémi Evil and good move together; Seibọ́ sèi sụọ́, yé èbi kí ìneí, tímibọ fàbọ píṛìg̣ha Trouble is for oneself; if you have good it’s for me; the one who has doesn’t give to the one who hasn’t (three different sayings, sometimes said one after the other, all referring to a selfish attitude); B. (fig.) faeces; excreta","A. evil; mischief; sei mịẹ́ do evil, sin; sei timí have a bad life","sei mịẹ́ do evil, sin"
seí²,n.,sei timí have a bad life,"Sei kí tọn “medicine after death”, i.e. advice too late; Sei mọ́ èbi mọ́ kẹnị tuu ki wẹ̀nịyémi Evil and good move together; Seibọ́ sèi sụọ́, yé èbi kí ìneí, tímibọ fàbọ píṛìg̣ha Trouble is for oneself; if you have good it’s for me; the one who has doesn’t give to the one who hasn’t (three different sayings, sometimes said one after the other, all referring to a selfish attitude); B. (fig.) faeces; excreta","A. evil; mischief; sei mịẹ́ do evil, sin; sei timí have a bad life",sei timí have a bad life
seibení¹,n.,bad tide for fishing,,bad tide for fishing [seí¹ + bení water],bad tide for fishing
seibení²,n.,"pus from ulcer, wound or dead",,"pus from ulcer, wound or dead","pus from ulcer, wound or dead"
seiboú,n.,"burial-ground for those who die accidental and untimely deaths, whose ghosts are feared",,"burial-ground for those who die accidental and untimely deaths, whose ghosts are feared [seí¹ + boú bush] (=agbárabou)","burial-ground for those who die accidental and untimely deaths, whose ghosts are feared"
seimọọ́³,n.,"medicine type, antidote for epidemic or poison, kept in a pot supported by live stick seimọséimọ adv. anyhow","Garímọ̀ fọ́ụbọò ịzandẹí ̣ nì, ̣wónì seimọséimọ kị yẹ̀rịmị As there was so much gari in the market, we sold it at a give-away price: Indi kpọ́ fàdẹịbị, fíỵaịmọ à seimọséimọ tụ̀ọ As there is no fish, prepare the food in any way.","medicine type, antidote for epidemic or poison, kept in a pot supported by live stick seimọséimọ adv. anyhow (as in selling something below cost price or preparing food in any form)","medicine type, antidote for epidemic or poison, kept in a pot supported by live stick seimọséimọ adv. anyhow"
seimọ́tùré,n.,abusive name given to the ugliest person seimọ tụọ́ parboil to,,"abusive name given to the ugliest person seimọ tụọ́ parboil (fish, meat, shrimps, etc.) to",abusive name given to the ugliest person seimọ tụọ́ parboil to
seitẹmẹ́,n.,evil spirit,,evil spirit; devil [seí¹ + tẹ́mẹ spirit],evil spirit
seitẹmẹ́,n.,devil,,evil spirit; devil [seí¹ + tẹ́mẹ spirit],devil
seribénì,n.,rising water,,rising water (at flood time) [serí + bení water],rising water
séribeni,n.,rising or flow tide,,rising or flow tide [séri¹ + bení water],rising or flow tide
sérimoye,n.,lever sérimọ¹ + yé thing,,(tech.) lever sérimọ¹ + yé thing [ ],lever sérimọ¹ + yé thing
sérisìnleleí,n.,subtraction or minus sign,,(math.) subtraction or minus sign (-) [séri¹ + sìín remove + leleí sign],subtraction or minus sign
sérisìnyeé,n.,subtraction,,(math.) subtraction [séri¹ + sìín remove + yé thing],subtraction
sẹ́ị²,n.,dance,,dance,dance
sẹ́i-arụ,n.,dance canoe,,dance canoe [sẹ́ị² + árụ canoe],dance canoe
sẹ́ịn²,n.,? planting distances,,? planting distances [unclear] [sentence example?],? planting distances
sẹ́ị-ogbo,n.,dancing club,,dancing club [sẹ́ị² + ogboó club],dancing club
sẹ́lẹ,n.,seed,,seed (of fruit); (bot.) ovule,seed
sẹ́lẹ,n.,ovule,,seed (of fruit); (bot.) ovule,ovule
sẹ́lẹkokouyọ,n.,receptacle,,(bot.) receptacle [sẹ́lẹ +kókou keep+yọ́ place],receptacle
sẹ́mbị,n.,padlock and key,,padlock and key [<Portuguese chave key],padlock and key
sẹ́mbịgbasa,n.,key,,key [sẹ́mbị + gbása stick],key
sẹntímì,n.,centime,,(tech.) centime [< French centime],centime
sídì,n.,cedi,,(tech.) cedi; Gánà sidi Ghanaian cedi [<Ghanaian English cedi cedi],cedi
sídì,n.,Gánà sidi Ghanaian cedi,,(tech.) cedi; Gánà sidi Ghanaian cedi [<Ghanaian English cedi cedi],Gánà sidi Ghanaian cedi
sikélì,n.,scale,,(tech.) scale; balance; sikélì balánsì scale balance; benibiriwárì ṣ ikeli bathroom,scale
sikélì,n.,balance,,(tech.) scale; balance; sikélì balánsì scale balance; benibiriwárì ṣ ikeli bathroom,balance
sikélì balánsì,n.,scale balance,,(tech.) scale; balance; sikélì balánsì scale balance; benibiriwárì ṣ ikeli bathroom,scale balance
sikélì,n.,benibiriwárì ṣ ikeli bathroom,,(tech.) scale; balance; sikélì balánsì scale balance; benibiriwárì ṣ ikeli bathroom,benibiriwárì ṣ ikeli bathroom
sipíringì,n.,spring,,(tech.) spring; sipíringì balansị spring balance [<English spring],spring
sipíringì balansị,n.,spring balance,,(tech.) spring; sipíringì balansị spring balance [<English spring],spring balance
sísọ̀,n.,seesaw,,(tech.).seesaw [<English seesaw],seesaw
sitatístìks,n.,statistics,,(tech.) statistics [<English statistics],statistics
sitétì,n.,"state, a political community organised as a component of a federation, e.g. Bayelsa State of Nigeria",,"state, a political community organised as a component of a federation, e.g. Bayelsa State of Nigeria [<English state]","state, a political community organised as a component of a federation, e.g. Bayelsa State of Nigeria"
siwísì,n.,switch,,switch [<English switch],switch
sịkákà,n.,mast of ship,,mast of ship,mast of ship
sódà,n.,soda,,soda [<English soda],soda
sóndiangayè,n.,hexagon sóndia + sóndie num. six,,(tech.) hexagon sóndia + [ angá side +yé thing ] sóndie num. six (counting form); sóndie karamọ sixth,hexagon sóndia + sóndie num. six
sóndiangayè,n.,sóndie karamọ sixth,,(tech.) hexagon sóndia + [ angá side +yé thing ] sóndie num. six (counting form); sóndie karamọ sixth,sóndie karamọ sixth
sóndu,n.,wormhill,,wormhill,wormhill
sóutolu,n.,canal sóu +tólu² canal,,canal sóu +tólu² canal [ ],canal sóu +tólu² canal
sọ́kọsọkọ,n.,"musical rattle made out of cane- rope, with a calabash bottom, containing pebbles",,"musical rattle made out of cane- rope, with a calabash bottom, containing pebbles","musical rattle made out of cane- rope, with a calabash bottom, containing pebbles"
sọmọụ́n,n.,pity,,pity; sympathy; sọmọụn nimí,pity
sọmọụ́n,n.,sympathy,,pity; sympathy; sọmọụn nimí,sympathy
sọmọụ́n,n.,sọmọụn nimí,,pity; sympathy; sọmọụn nimí,sọmọụn nimí
sọọ́n,n.,earthworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",earthworm
sọọ́n,n.,worm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",worm
sọọ́n,n.,sọn soú dig up worms,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",sọn soú dig up worms
sọọ́n,n.,"amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children",,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm","amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children"
sọọ́n,n.,bou sọọ́n earthworm in clay swamp soil,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",bou sọọ́n earthworm in clay swamp soil
sọọ́n,n.,"olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head",,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm","olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head"
sọọ́n,n.,pẹrẹ sọọ́n “king worm”- blind wormsnake,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",pẹrẹ sọọ́n “king worm”- blind wormsnake
sọọ́n,n.,érì sọọn guineaworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",érì sọọn guineaworm
sọọ́n,n.,threadworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",threadworm
sọọ́n,n.,ẹfẹ́n sọ̀ọn ringworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",ẹfẹ́n sọ̀ọn ringworm
sọọ́n,n.,fúròú bòlou sọọn roundworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",fúròú bòlou sọọn roundworm
sọọ́n,n.,kíri sọ̀ọn earthworm,,"earthworm; worm (in general); sọn soú dig up worms (for bait); amá-ogbo-sọn very small earthworm in town soil, used in baiting a small line by children; bou sọọ́n earthworm in clay swamp soil; olúlùlú sọ̀n dungworm, which moves fast, is brittle,and has a red portion near the head; pẹrẹ sọọ́n “king worm”- blind wormsnake [pictures?]; (tech.) érì sọọn guineaworm; threadworm; ẹfẹ́n sọ̀ọn ringworm; (tech.) fúròú bòlou sọọn roundworm; kíri sọ̀ọn earthworm; tépù sọọn tapeworm",kíri sọ̀ọn earthworm
